Project title,Predictor,Response,Working hypothesis (prediction),General hypothesis (long),"Theory (as a single noun, according to Scheiner & Willig 2007; 2011)",Biodiversity as Response variabe,"Just monitoring biodiversity change (without any specific driver in mind, just because we are in the anthropocene)",Biodiversity as explanatory variable,To which of the 4 classical processes (Vellend 2010) human action influence biodiversity patterns,Notes
[Analysis] Atmospheric CO2 concentration and plant diversity in drylands worldwide,Plant diversity,Atmospheric CO2,Plant diversity determine CO2 concentration at global scale,NA,To  be determined,Yes,No,Yes,NA,
[Analysis] Machine learning identifies main factors shaping riverine biodiversity patterns across hierarchical spatial scales: Assuming nonlinearity and higher-level variable interactions and finding the importance of forest cover.,X factors,Riverine biodiversity patterns,X factors predict riverine biodiversity patterns differentially along hierarchical spatial scales,Spatial heterogeneity predicts biodiversity patterns,Ecological gradient theory AND Niche (Coexistence) Theory,Yes,No,No,Selection,
[Concept development] Proposing a unifying conceptual framework that can describe temporally-dynamic systems across all ecological scales,NA,NA,NA,NA,To  be determined,NA,No,NA,NA,
"[Preliminary idea] Exploration of mental models to support the clarification of key concepts used in the BIBS project, possibly also to feed in stakeholder’s perceptions of these concepts into the synthesis work (to be discussed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,
"[Statistical report] Statistically-reinforced machine learning for empirical modeling: Introducing some new modeling techniques which are particularly suitable for analyzing nonlinear, interactive patterns.",NA,NA,NA,NA,NA,NA,NA,NA,NA,
"Carbon, nitrogen and phosphorus transfers through aquatic foodwebs and terrestrial systems",Aquatic and terrestrial gradients,"Carbon, nitrogen and phosphorus transfers","Carbon, nitrogen and phosphorus transfers differently through aquatic and terrestrial foodwebs",Nutrients transfer at different rates through foodwebs,Ecosystem Ecology Theory AND Food Web Theory,Yes,No,No,NA,Vellend ideas are restricted to community parameters not ecosystem ones (processes)
Conceptual paper on stability in ecological research,NA,NA,NA,NA,Stability theory,NA,NA,NA,NA,
Development of spatially explicit mathematical models to explore/predict the influence of aquatic-terrestrial coupling + kettle hole arrangement topologies on the biodiversity patterns observed in natural kettle hole systems.,Aquatic to terrestrial coupling and kettle hole topology,Biodiversity patterns,Aquatic to terrestrial gradients and kettle hole arrangement topologies predict biodiversity patterns in kettle holes,Spatial heterogeneity predicts community structure patterns; Habitat network topology predicts community structure patterns,Ecological gradient theory AND Niche (Coexistence) Theory AND Metacommunity theory,Yes,No,No,Selection,
Ecological novelty in urban ecosystems as driver of trait differentiation among native plant populations (Field study: trait variation measured along a gradient of urbanity and biotic novelty) In collaboration with WP3,Ecological novelty in urban ecosystems,Trait differentation among native and plant populations,Ecological novelty in urban ecosystem predicts trait differentiation among native and plant populations,Biodiversity responds differently to urban ecosystem compared to natural ones,Global change theory,Yes,No,Yes,Selection,
"Effects of biotic novelty and urbanization on ecosystem services (i.e. carbon sequestration, WUE) provided by focal plants species / functional groups / community (Field study)",Biotic novelty and urbanization,ecosystem services provided by particular plant groups,"Urbanization and biotic novelty influence ecosystem services (Carbon sequestration, WUE)",Ecosystems responds differently to urban environments compared to natural ones,Global change theory,Yes,No,Yes,NA,Vellend ideas are restricted to community parameters not ecosystem ones (processes)
Effects of biotic novelty and urbanization on ecosystem services (microclimate/decomposition),Biotic novelty and urbanization,ecosystems services (microclimate and decomposition),Urbanization and biotic novelty influence ecosystem services (microclimate/decomposition),Ecosystems respond differently to novel environements compared to natural ones,Global change theory,Yes,No,Yes,NA,Vellend ideas are restricted to community parameters not ecosystem ones (processes)
