ID,Running head (up to 50 characters),Who,Project title,Study period ,Study type,,,,,Domain,,,Target Taxa,,,,,Study site,,,,,Ecological scale,,,,,Ecological property,,,,,,,Driving force,,,,,
,,,,,"Review, Concept, Metaanalysis",Field observation/experiment,Lab experiment,Model-based Simulation,Else,Terrestrial,Aquatic,Else,Vertebrate,Invertebrate,Plant,Microbe,Else,AgroScapeLab,CityScapeLab,LakeLab,"Berlin, Brandenburg",Else,Ecosystem,Community,Population,Individual,Else,Spatial Distribution,Trait (intra),Trait (inter),Ecosys. Structure,Ecosystem functioning,Evolution,Else; write specifically if needed,Nutrient deposition,Urbanization,Drought,Land Use itntesity,Else; write specifically if needed,
1_0,Stability Paradigm,Alexis Synodinos & Synthesis PostDocs,Conceptual paper on stability in ecological research,2017-19,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
1_1,Landscape connectivity and biodiversity,Alexis Synodinos,Landscape connectivity and biodiversity,2017-19,,,,x,,x,,,,,x,,x,x,,,x,,x,x,x,,,x,,,x,,,Species diversity,,,,,not yet decided,Comment: data list will become available in the next 2 month
1_2,Land use changes in the AgroScapeLab,Lina Weiﬂ,"Historical landscape configuration of AgroScapeLabs (1780-today); fragmentation, habitat turn-overÖ",2016/17,,,,,x,x,,,,,,,,x,,,,,,,,,x,x,,,x,,,"Habitat size, isolation and turn-over",,,,x,,
1_3,PlotsQuillow,Lina Weiﬂ / Kolja Bergholz,Establishing plots in the AgroScapeLabs for future research in different habitat types in the landscape context,2016-19,,x,,,x,x,,,,,,,,x,,,,,x,,,,,x,,,x,x,,,x,,,x,,
1_4,AgroScape Plant Diversity,Lina Weiﬂ / Kolja Bergholz,"Plant species diversity in dry grasslands, mesic grasslands, forests and agricultural fields in dependence of different landscape variables",2017,,x,,,,x,,,,,x,,,x,,,,,x,x,,,,x,,,x,x,,,x,,,x,,
1_5,Soil arthropod,Stefanie Maaﬂ / Yvonne Buchholz,Soil arthropods (see above),2017,,X,,,,X,,,,X,,,,X,(X),,,,,X,,X,,X,X,X,,,,,,(X),,X,,
1_6,Trait variation in rural dry grasslands,Lina Weiﬂ / Kolja Bergholz,Trait variation of plant communities in dry grasslands,2017,,x,,,,x,,,,,x,,,x,,,,,,x,x,x,,,x,x,,,,,,,,,,
1_7,UrbanAntVariation,Kolja Bergholz,Urbanization effects on trait variation in ants,2016/17,,x,,,,x,,,,x,,,,,x,,,,,x,x,x,,,x,x,,,,,,x,,,,
